"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms - 1"
"08/19/2022 03:16:02:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","nTrees","spawnChance","randomMap?","spawnRate","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","witherRate","startingCount","initFood","showPA","antWars","nEnergy","week","nFlowers","nBushes","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"175","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","280","100","50","0","2000","28","24","17","1540","1195","835"
"178","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","270","80","50","0","2000","30","25","13","1580","1335","1080"
"176","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","280","100","50","0","2000","39","26","33","2215","1360","1365"
"182","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","280","80","50","0","2000","34","32","11","1805","1150","940"
"177","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","270","80","50","0","2000","34","36","29","1575","1940","1505"
"184","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","280","100","50","0","2000","26","38","23","1560","1840","760"
"185","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","270","80","50","0","1641","48","31","9","2085","1160","690"
"180","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","270","100","50","0","2000","33","29","33","1995","1650","2240"
"183","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","280","100","50","0","2000","35","17","16","1610","785","580"
"181","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","280","80","50","0","2000","44","27","27","2865","1450","1865"
"186","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","270","80","50","0","1983","33","9","25","1560","710","1480"
"188","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","270","100","50","0","2000","41","29","36","2600","1975","1815"
"189","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","280","80","50","0","1820","39","35","9","1705","2165","660"
"190","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","280","80","50","0","1895","27","17","9","1590","1095","855"
"187","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","270","100","50","0","2000","36","18","39","1645","970","1700"
"191","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","280","100","50","0","1544","35","35","9","1760","1145","635"
"193","0","15","false","2","150","220","false","25","false","12","6","5","35","500","false","12","270","80","50","0","2000","17","25","29","1100","1975","1430"
"198","0","15","false","2","150","220","false","25","false","12","6","5","35","500","false","12","280","80","50","0","1761","34","9","19","1555","650","1015"
"194","0","15","false","2","150","220","false","25","false","12","6","5","35","500","false","12","270","80","50","0","1751","9","23","33","520","1035","1240"
"192","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","48","280","100","50","0","2000","32","22","18","1490","1000","960"
"195","0","15","false","2","150","220","false","25","false","12","6","5","35","500","false","12","270","100","50","0","2000","32","30","26","1710","1225","1270"
"199","0","15","false","2","150","220","false","25","false","12","6","5","35","500","false","12","280","100","50","0","2000","18","18","42","740","710","2170"
